CellLine_ID,ABCB1,ABCG2,ABCC1,ABCC2,ABCC3,ABCC4
ACH-000402,0.130074905,-0.057693869,4.882706817,0.12987509,0.057843311,2.033815793
ACH-000838,1.493517341,1.353199143,4.695851301,0.247368297,-0.108653984,3.093770031
ACH-000301,3.535473115,0.483541975,4.941565556,0.472731641,1.009911963,5.514402306
ACH-000052,0.130074905,-0.02987415,4.16972558,0.41984456,0.552421722,4.379916505
ACH-000186,0.065106054,0.548895614,3.779172773,0.642943786,3.917421465,2.550880648
ACH-000697,3.67059507,0.620042457,4.847203924,1.255339322,-0.046875819,2.344773905
ACH-000298,0.626929249,-0.057693869,3.829716021,0.50686424,0.101967013,0.017874265
ACH-000977,0.01086318,0.11400356,5.96125786,0.061160949,0.255974587,7.056960413
ACH-000526,0.352594595,0.289107486,5.862415603,0.780276921,1.702794399,2.585210366
ACH-000729,-0.003033238,0.088916288,4.145930461,0.257555662,0.803188794,4.00682656
ACH-000031,0.308604236,0.704190355,4.492384741,0.41984456,6.353659459,2.897586149
ACH-000407,0.167653274,0.454574971,4.81953942,0.237102867,2.590307448,3.430138479
ACH-000479,0.466876635,0.138650681,5.138576131,0.935770921,5.99005747,4.205265264
ACH-000671,0.330772613,5.399658826,3.790350919,4.114850236,2.100033097,2.114086075
ACH-000387,3.183066994,0.866023039,4.898405144,0.619912295,0.463250744,4.351884664
ACH-000267,0.893366064,3.43556645,6.03406083,1.201255087,0.080080263,4.68375973
ACH-000559,0.14271371,-0.057693869,3.102268594,0.82752325,0.134164125,1.292943363
ACH-000481,0.68784887,4.445676006,5.552350805,0.635310534,5.284301313,3.973147123
ACH-000884,0.051741565,2.352463957,2.979691438,3.908820007,3.53722529,3.506682795
ACH-000193,0.48668659,0.37427598,2.240866777,0.061160949,0.196403474,2.803306214
ACH-000621,0.038247949,0.076202627,4.215487767,0.787129273,3.442387696,3.479979217
ACH-000248,0.01086318,3.8461301,5.380339948,3.631324324,3.605207483,3.606617815
ACH-000610,0.14271371,-0.043715148,4.770654126,0.013311861,1.769784709,3.136243687
ACH-000847,0.038247949,0.0241652,4.456997952,0.523609859,0.123514419,3.134692442
ACH-000438,0.01086318,0.010848988,4.503233577,1.388266501,5.755904392,3.44777707
ACH-000131,0.330772613,0.744446688,4.643071131,0.049357947,1.779560458,3.536446082
ACH-000116,0.179958009,-0.016168189,6.239992897,0.257555662,1.252902565,1.372978732
ACH-000804,0.065106054,-0.043715148,5.246647478,0.410823435,0.144732844,4.205265264
ACH-000411,2.451953237,0.010848988,3.995176862,6.128239509,5.666531984,5.941613516
ACH-000758,0.091457372,1.882799753,4.844956003,2.897296826,0.940408487,3.44777707
ACH-000725,0.051741565,0.434926401,4.016784345,2.166928559,7.792803864,0.324910446
ACH-000083,0.038247949,0.923080623,4.753508586,0.216332961,0.946335063,3.399395729
ACH-000090,0.14271371,-0.02987415,3.874190715,0.061160949,4.515591789,3.096958985
ACH-000519,0.786471842,0.174829073,4.805276488,0.383389738,0.046589971,0.447411376
ACH-000349,0.091457372,-0.057693869,4.347268981,0.118664715,1.671562076,0.082155398
ACH-000165,0.635796443,1.499670213,5.366880674,0.65053379,1.179867555,3.050022685
ACH-000185,0.14271371,0.654308787,5.038876144,0.307361846,2.160577546,3.436462484
ACH-000310,0.117320675,-0.016168189,5.236709898,0.604335003,-0.083612228,2.998121266
ACH-000237,1.394427676,3.932427358,7.059128362,3.747955705,7.609129116,2.8149468
ACH-000543,0.436624656,0.768058167,5.283737323,0.152018273,4.398329001,2.689933026
ACH-000709,2.339163667,-0.057693869,4.352325395,2.060310677,4.465737149,4.543579696
ACH-000796,-0.003033238,0.602590681,4.621201932,1.080580451,5.82705146,0.324910446
ACH-000581,0.179958009,3.63465237,4.573203811,4.280341392,6.384131757,2.268113721
ACH-000910,0.01086318,-0.057693869,3.506428424,0.374118891,3.11274654,0.437586789
ACH-000622,0.341726226,0.126381172,5.347890035,1.064007472,6.677078612,4.72868644
ACH-000216,0.14271371,2.404547323,4.545286079,1.107754447,5.256378337,2.708758393
ACH-000841,0.14271371,2.66998408,5.212089932,1.460466999,5.638519348,3.077719861
ACH-000077,0.635796443,3.601812894,5.540954774,0.50686424,0.226508186,3.992241271
ACH-000978,0.971966666,0.255789326,4.609085359,0.297547648,0.829166744,3.262413146
ACH-000518,0.228120659,0.971173091,5.721298271,0.820874938,5.591863576,1.408877274
ACH-000367,0.263183048,0.775841289,4.735673961,0.472731641,0.479895014,3.990515729
ACH-000086,0.038247949,2.036451779,3.577939238,0.642943786,2.360278815,3.407142362
ACH-000807,0.104448894,0.050424841,4.844956003,0.374118891,1.199721891,3.026811695
ACH-000881,0.635796443,0.736487177,4.268569992,3.14812591,0.035244767,2.496620957
ACH-000024,1.039775054,0.454574971,2.974827067,1.007234907,0.012272676,1.458675477
ACH-000926,4.678796585,0.0241652,4.607497481,3.02793195,5.102925696,2.276522653
ACH-000110,0.051741565,1.229557071,4.887521499,1.366268764,1.6993586,2.007167642
ACH-000749,0.051741565,0.511923746,5.007424355,0.072860866,0.012272676,3.586260103
ACH-000820,4.125911211,4.370225769,5.115965437,3.488179328,6.135653316,0.596222624
ACH-000423,1.129494422,1.476294468,4.269238132,4.964760528,0.488142989,2.873653379
ACH-000282,2.593790023,3.681534921,6.748773536,4.260547264,7.111567866,3.643218144
ACH-000238,0.363379039,0.695998787,4.810353527,1.361825536,4.875153585,2.795493903
ACH-000461,0.091457372,1.030681513,5.642268661,0.277700884,5.617132997,3.289183543
ACH-000558,0.117320675,0.174829073,4.888395189,0.745479327,5.215880721,4.022112511
ACH-000469,0.228120659,1.081541362,6.726189636,0.787129273,5.941181755,3.223505621
ACH-000471,3.95459272,1.342869318,4.87787617,6.00380168,7.16958664,3.857751735
ACH-000843,0.436624656,1.615324404,5.358997969,1.255339322,4.359304541,3.084161133
ACH-000968,2.58943252,-0.057693869,4.472767079,4.546736634,-0.071258547,2.386836514
ACH-000048,0.117320675,-0.057693869,4.351694303,0.072860866,0.057843311,3.498239101
ACH-000385,4.550373314,2.847715233,4.89536591,5.645871074,5.575886503,2.822655911
ACH-000148,0.155239161,0.548895614,4.313319533,1.047226893,2.674668908,2.42772033
ACH-000904,0.038247949,0.050424841,0.634936989,0.195235958,4.515591789,3.100140983
ACH-000599,0.024622685,0.901954663,5.349482078,0.572626255,2.726551123,2.151101482
ACH-000268,4.603993375,3.998153943,5.148107827,4.819984122,6.872103411,1.824785504
ACH-000703,0.091457372,0.101515923,4.142290994,0.195235958,0.091066723,0.314222151
ACH-000936,1.414816045,2.913633863,5.067733876,1.779098079,5.068021401,4.00682656
ACH-000786,0.228120659,0.063372858,5.330906553,0.326777143,-0.071258547,2.683603533
ACH-000892,0.48668659,4.076580992,6.871126995,1.052843807,7.784629678,3.742706205
ACH-000800,0.051741565,-0.057693869,4.553003195,0.140992432,-0.011085519,2.328682429
ACH-000593,0.130074905,3.862612011,7.593654146,5.439305284,5.564421709,1.983444425
ACH-000361,0.635796443,0.101515923,3.778237378,3.872429374,0.613858459,3.773080911
ACH-000191,5.051174829,2.344863308,4.802499719,4.980685465,5.991312492,4.455279384
ACH-000155,-0.003033238,1.640713949,5.010640423,0.383389738,3.908326472,3.454025241
ACH-000702,2.011114977,1.471572279,5.216977617,0.673049144,0.057843311,2.365956792
ACH-000513,2.782722221,-0.016168189,4.455823051,3.590638228,4.60514442,4.676764956
ACH-000015,0.286078289,1.195429485,3.637884206,1.480982439,-0.022913504,2.347438647
ACH-000701,0.130074905,6.011283317,6.461014631,5.364953028,6.330389316,0.682067719
ACH-000920,0.738030739,0.704190355,5.801170189,2.628786251,0.112782475,1.320112597
ACH-000034,0.024622685,-0.016168189,4.45405892,0.642943786,-0.147083525,3.048376948
ACH-000075,0.078343864,2.128304741,4.259856181,4.184276758,4.413539454,4.326735664
ACH-000242,0.104448894,2.001208542,4.397672089,0.084459485,5.802301667,3.975765632
ACH-000537,5.051923464,0.310888541,5.23498965,3.614866721,6.642179607,3.421238565
ACH-000561,0.01086318,-0.016168189,6.947371618,5.596808382,4.440122734,3.483649522
ACH-000583,0.051741565,-0.002594655,5.19166443,0.247368297,-0.071258547,2.8168779
ACH-000104,0.078343864,0.088916288,5.565031374,0.766466159,0.080080263,2.974062723
ACH-000312,0.308604236,-0.016168189,5.650833212,0.673049144,0.96979182,3.513881555
ACH-000121,0.130074905,0.752361356,6.601380003,5.043697412,6.591800193,3.95379976
ACH-000783,0.155239161,0.138650681,5.204024394,0.336380281,0.650921452,0.920007458
ACH-000416,-0.003033238,1.316707484,3.63168911,4.796201037,1.643198238,2.809138117
ACH-000044,0.024622685,0.076202627,3.498513663,0.523609859,5.23113821,-0.049370157
ACH-000714,0.078343864,3.196624058,6.229072113,0.716975442,-0.108653984,3.455271671
ACH-000252,7.314666888,1.50891268,4.84989686,1.870436218,5.676007792,2.066455761
ACH-000082,0.416086367,0.088916288,4.065221207,0.515263215,0.568037391,3.312726604
ACH-000956,0.384701261,1.806647311,3.54975471,2.937704808,0.091066723,1.303871846
ACH-000403,0.696338735,1.757349273,5.498198124,0.580624082,4.540754996,4.70348632
ACH-000008,2.112960795,2.482680426,3.213950436,4.777213536,1.558271589,3.636631471
ACH-000049,4.857501883,1.112418427,4.957478723,0.237102867,2.892067711,3.597604995
ACH-000491,5.644139857,0.720431575,5.239458077,4.723656585,3.865560641,3.39680435
ACH-000171,3.456820009,0.384567966,5.507364511,6.489247328,7.35399834,5.228772338
ACH-000784,0.14271371,0.602590681,7.264087528,3.939058324,5.871169646,3.071250025
ACH-000712,4.985242858,-0.043715148,3.152006202,0.716975442,1.702794399,1.847463873
ACH-000603,5.599602807,0.930052598,5.498198124,5.775714887,7.455710044,2.668727046
ACH-000201,0.204246942,0.037356376,4.955394789,5.542349771,0.922475595,2.8149468
ACH-000747,-0.003033238,-0.043715148,3.856563424,0.960018317,0.606325759,3.959983614
ACH-000940,0.051741565,0.050424841,5.045948381,4.115989863,0.367963725,3.071250025
ACH-000243,0.14271371,5.034335696,4.50777745,1.556195717,4.887005303,3.413566615
ACH-000249,6.433466827,2.785993554,5.276729078,0.515263215,4.883181972,3.282186188
ACH-000916,0.204246942,3.03996119,7.165026245,8.0175053,8.094016368,3.961745626
ACH-000170,1.384120778,1.485691492,6.204152611,0.184561542,4.459613724,2.781720881
ACH-000888,0.065106054,3.350032672,6.053425557,5.866918394,5.916580337,4.663218473
ACH-000060,0.117320675,0.775841289,5.46506602,0.588574444,5.521995607,2.751762011
